# nrx - https://github.com/NikolaiRuhe/nrx
# copyright 2016, Nikolai Ruhe

# Invalid Syntax

empty                                  #                                              #   PARSER_ERROR
empty expression                       #   ()                                         #   PARSER_ERROR
invalid token                          #   $0                                         #   PARSER_ERROR
unexpected token                       #   )                                          #   PARSER_ERROR
unexpected token                       #   ]                                          #   PARSER_ERROR
unexpected token                       #   *                                          #   PARSER_ERROR
unexpected token                       #   /                                          #   PARSER_ERROR
unexpected token                       #   %                                          #   PARSER_ERROR
unexpected token                       #   +                                          #   PARSER_ERROR
unexpected token                       #   ?                                          #   PARSER_ERROR
unexpected token                       #   ]                                          #   PARSER_ERROR
two expressions                        #   1 2                                        #   PARSER_ERROR


# Primary Expressions

int literal                            #   1                                          #   1
float literal 0.1                      #   0.1                                        #   0.1
float literal 1.0                      #   1.0                                        #   1
string literal                         #   "default"                                  #   "default"
bool literal                           #   true                                       #   true
null literal                           #   NULL                                       #   NULL

empty list literal                     #   []                                         #   []
list literal                           #   [1 ]                                       #   [1]
list literal                           #   [1, ]                                      #   [1]
list literal                           #   [1, 2, 3 ]                                 #   [1, 2, 3]
list literal                           #   [1, 2, 3, ]                                #   [1, 2, 3]
list literal                           #   [1, 0.2, "abc", false, [0], [1:2], $abc]   #   [1, 0.2, "abc", false, [0], [1:2], $abc]
list literal                           #   [1, 0.2, "abc", false, [0], [1:2], $abc, ] #   [1, 0.2, "abc", false, [0], [1:2], $abc]
malformed list literal                 #   [                                          #   PARSER_ERROR
malformed list literal                 #   [,]                                        #   PARSER_ERROR
malformed list literal                 #   [ /* 1 */, 2, 3]                           #   PARSER_ERROR

empty dict literal                     #   [:]                                        #   [:]
dict literal                           #   [1:2]                                      #   [1:2]
dict literal                           #   [1:2, ]                                    #   [1:2]
dict literal                           #   [1:2, 2:3, 3:4]                            #   [1:2, 2:3, 3:4]
dict literal                           #   [1:2, 2:3, 3:4, ]                          #   [1:2, 2:3, 3:4]
dict literal                           #   ["1":1, "0.2":0.2, "abc":"abc", "false":false, "[0]":[0], "[1:2]":[1:2], "$abc":$abc] #   ["1":1, "0.2":0.2, "abc":"abc", "false":false, "[0]":[0], "[1:2]":[1:2], "$abc":$abc]
dict literal                           #   ["1":1, "0.2":0.2, "abc":"abc", "false":false, "[0]":[0], "[1:2]":[1:2], "$abc":$abc, ] #   ["1":1, "0.2":0.2, "abc":"abc", "false":false, "[0]":[0], "[1:2]":[1:2], "$abc":$abc]
malformed dict literal                 #   [ 1;                                       #   PARSER_ERROR
malformed dict literal                 #   [ 1:2                                      #   PARSER_ERROR
malformed dict literal                 #   [ 1:2, 1 2]                                #   PARSER_ERROR
malformed dict literal                 #   [ 1: ]                                     #   PARSER_ERROR
malformed dict literal                 #   [ :1 ]                                     #   PARSER_ERROR
malformed dict literal                 #   [ 1:1, 1: ]                                #   PARSER_ERROR
malformed dict literal                 #   [ 1:1, :1 ]                                #   PARSER_ERROR
malformed dict literal                 #   [ 1:1:1 ]                                  #   PARSER_ERROR
malformed dict literal                 #   [ 1, 1:1 ]                                 #   PARSER_ERROR
malformed dict literal                 #   [ 1:1, 1 ]                                 #   PARSER_ERROR

single lookup                          #   $a                                         #   $a
multi lookup                           #   $$a                                        #   $$a
lookup chain                           #   $a$$b$c$$d                                 #   $a$$b$c$$d

identifier                             #   myName                                     #   myName

unaryMinus                             #   -a                                         #   (-a)
unaryMinus                             #   --a                                        #   (-(-a))
unaryMinus                             #   (-/* foo */a)                              #   (-a)
unaryNot                               #   !a                                         #   (!a)
unaryNot                               #   !!a                                        #   (!(!a))
unaryMix                               #   -!-!a                                      #   (-(!(-(!a))))
parenthesis                            #   (a)                                        #   a
parenthesis                            #   ((a))                                      #   a
malformed parenthesis                  #   (                                          #   PARSER_ERROR
malformed parenthesis                  #   )                                          #   PARSER_ERROR
malformed parenthesis                  #   () 1                                       #   PARSER_ERROR
malformed parenthesis                  #   -()                                        #   PARSER_ERROR
malformed parenthesis                  #   (-1+)                                      #   PARSER_ERROR


# Operators
# These are simple tests that make sure operators are implemented and basic errors are caught.

except operator                        #   1 except 2                                 #   (1 except 2)
conditional operator                   #   true ? "foo" : "bar"                       #   (true ? "foo" : "bar")
malformed conditional operator         #   true ?                                     #   PARSER_ERROR
malformed conditional operator         #   true ? "foo"                               #   PARSER_ERROR
malformed conditional operator         #   true ? "foo" :                             #   PARSER_ERROR
where operator                         #   1 where x : 2                              #   (1 where x : 2)
map operator                           #   1 map x : 2                                #   (1 map x : 2)
contains operator                      #   1 contains 2                               #   (1 contains 2)
logicOr operator                       #   1 || 2                                     #   (1 || 2)
lgicAnd operator                       #   1 && 2                                     #   (1 && 2)
equal operator                         #   1 = 2                                      #   (1 == 2)
equal operator                         #   1 == 2                                     #   (1 == 2)
notEqual operator                      #   1 != 2                                     #   (1 != 2)
greaterThan operator                   #   1 > 2                                      #   (1 > 2)
